"";"Balanco em 24 horas (mm)";"Balanco em 7 dias (mm)";"Balanco em 14 dias (mm)";"Balanco em 28 dias (mm)"
"10100000_TABATINGA";0,450375;27,963775;44,536825;81,921525
"13438000_ASSIS_BRASIL";-0,5894;-5,539325;16,10995;49,860825
"13459000_BRASILÉIA";-0,139225;5,4179;37,9313;82,977325
"13550000_XAPURI";0,0882000000000001;6,80165;37,1829;80,220675
"13568000_CAPIXABA";-0,0186250000000001;9,831575;33,187825;76,2832
"13600002_RIO_BRANCO";-0,2481;11,66085;25,462525;60,5602
"14100000_MANACAPURU";0,72425;29,164475;62,046925;116,993875
"14620000_BOA_VISTA";-1,05825;-12,852575;-12,70335;-31,616425
"14710000_CARACARAÍ";-1,449875;-14,0166;-16,447275;-38,263725
"14990000_MANAUS";1,716425;5,2182;18,2571;32,772725
"15130000_PIMENTEIRAS";0,0403500000000001;10,461275;5,80645;-0,420599999999993
"15150000_PEDRAS_NEGRAS";1,23945;12,301075;5,09015;-5,02142500000001
"15200000_PRINCIPE_DA_BEIRA";-0,4478;13,8274;11,672175;7,88635000000001
"15250000_GUAJARA-MIRIM";-0,60325;21,2879;23,350575;28,322175
"15318000_UHE_JIRAU_JUSANTE_RIO_BENI";-0,2185;21,838125;32,084075;53,328725
"15320002_ABUNA";-0,1969;21,83935;32,176675;53,36455
"15326000_MORADA_NOVA";1,19365;10,674075;11,264875;22,23015
"15400000_PORTO_VELHO";0,0788500000000001;21,495275;31,78815;52,666975
"15430000_ARIQUEMES";-0,7031;10,12345;32,832125;44,3734
"15490000_PROSPERIDADE";0,0795500000000002;21,470175;31,76795;52,726575
"15560000_JI-PARANA";7,558725;7,469575;21,066275;40,603
"15580000_TABAJARA";5,285725;11,140825;20,85995;48,72395
"18460000_BOA_SORTE";7,92135;25,138275;84,95045;92,5416
"18500000_BOA_ESPERANÇA";9,31485;11,66455;14,3105;24,7778
"18700000_PEDRA_DO_Ó";17,797925;54,9123;112,9039;145,85545
"18850000_ALTAMIRA";11,12655;30,171025;77,684275;92,588625
"33530000_MONTEVIDÉU";23,808275;25,891475;31,218025;30,43125
"33530000_MONTEVIDÉU_TOTAL";23,808275;25,891475;31,218025;30,43125
"33550000_CAXIAS";-2,1209;8,907275;0,359525000000005;-31,426525
"33550000_CAXIAS_TOTAL";19,8184;23,247425;26,40525;20,767725
"33590000_CODÓ";NA;NA;NA;NA
"33590000_CODÓ_TOTAL";16,927025;21,6226;22,663475;13,381025
"33630000_COROATÁ";NA;NA;NA;NA
"33630000_COROATÁ_TOTAL";14,3187;20,6021;19,677;7,31422499999999
"33680000_CANTANHEDE";-2,9522;25,82875;13,6673;-12,21
"33680000_CANTANHEDE_TOTAL";12,21065;21,229625;18,94125;4,930025
"33690000_ITAPECURU_MIRIM";1,021025;30,019925;25,66615;7,30255
"33691000_ITAPECURU_MIRIM_TOTAL";11,938775;21,43805;19,091725;4,98139999999999
"34311000_BARÃO_DE_GRAJAÚ";17,62065;39,512175;42,95575;48,110325
"34660000_FAZENDA_VENEZA";15,08825;35,282575;39,08335;32,817025
"34690000_TERESINA_-_CHESF";14,8921;34,897275;38,66725;32,109
"34790000_FAZENDA_CANTINHO";3,520425;10,13405;13,557425;-0,208525000000002
"39700000_SANTANA_DO_MUNDAÚ";1,3544;-12,091025;4,55705;-27,6923
"39720000_SÃO_JOSÉ_DA_LAJE";14,505825;5,603425;9,59335;-15,108825
"39740000_UNIÃO_DOS_PALMARES";10,250425;-2,0354;8,9895;-20,840375
"39760000_MURICI_-_PONTE";9,2695;-3,576775;8,508975;-21,91745
"39770000_FAZENDA_BOA_FORTUNA";7,883125;-5,268425;6,66245;-23,240325
"41195000_RIO_ACIMA";3,2398;22,260425;46,79175;42,7244
"41200430_RAPOSOS";3,72565;24,179025;47,843325;44,51225
"41260000_PINHÕES";7,372175;32,650275;52,309075;54,168175
"41340000_PONTE_RAUL_SOARES";7,086975;28,1828;44,0917;42,564075
"41410000_JEQUITIBÁ";8,506275;31,656;46,5402;40,55175
"41650002_PONTE_DO_LICÍNIO_JUSANTE";15,87885;36,704425;50,997675;37,292025
"41818000_SANTO_HIPÓLITO";19,90165;41,661375;55,262375;41,319225
"41990000_VÁRZEA_DA_PALMA";19,67675;45,231975;58,161925;40,108375
"42980000_PORTO_ALEGRE";20,9707;36,362575;91,05655;76,732325
"43429998_ARINOS_MONTANTE";14,7826;46,96225;91,704075;67,04025
"44200000_SAO_FRANCISCO";12,078;31,811675;70,01655;57,7399
"44940000_GADO_BRAVO";6,120675;9,70975;58,2646;25,31925
"45131000_SÃO_GONÇALO";1,003375;12,1184;32,587775;5,35810000000001
"45960001_PORTO_NOVO";6,260825;1,2399;24,486125;9,22127499999999
"46902000_BOQUEIRÃO";21,97565;31,411375;54,140375;31,516325
"56110000_PONTE_NOVA";13,0921;35,251025;41,596975;27,70825
"56540001_CACHOEIRA_DOS_ÓCULOS";10,077675;31,941775;37,50245;18,90215
"56660000_NOVA_ERA";7,447925;14,0712;18,839125;6,373075
"56696000_MARIO_DE_CARVALHO";8,71395;19,062275;26,625375;8,03282499999999
"56719998_BELO_ORIENTE";9,543275;30,745475;38,60325;18,647125
"56825000_NAQUE_VELHO";12,211375;56,86145;74,1872;52,43995
"56850000_GOVERNADOR_VALADARES";9,105825;36,546;48,031025;26,3416
"56892000_VILA_MATIAS";8,377575;28,0922;41,778975;11,2274
"56920000_TUMIRITINGA";8,156575;32,065125;46,99815;23,240675
"56990000_SÃO_SEBASTIÃO_DA_ENCRUZILHADA";5,974675;14,532225;30,130575;7,7362
"56994500_COLATINA";6,8261;26,298475;41,23015;18,471775
"58730001_GUARANI";2,86045;18,782325;23,44275;30,5123
"58735000_ASTOLFO_DUTRA";3,674;20,61635;22,648925;22,171625
"58736000_BARRA_DO_XOPOTÓ";13,552925;60,741725;82,059575;61,1776
"58770000_CATAGUASES";5,0644;29,3168;40,026975;33,85785
"58790000_SANTO_ANTÔNIO_DE_PÁDUA";5,6603;35,9065;48,117225;41,33415
"58792100_APERIBÉ";5,542675;36,9891;51,3359;43,731375
"58920000_PATROCÍNIO_DO_MURIAÉ";19,693775;56,0461;56,9448;58,17455
"58930000_CARANGOLA";16,9117;19,0247;30,683225;27,75785
"58934000_PORCIUNCULA";16,066625;18,508925;28,103725;22,015325
"58940000_ITAPERUNA";18,1488;47,903525;50,678375;42,50745
"58960000_CARDOSO_MOREIRA";16,9283;47,353875;54,36125;47,5823
"66010000_BARRA_DO_BUGRES";3,90515;35,1655;63,823175;50,7672
"66070004_CACERES_DNPVN";2,91785;35,159325;53,19525;50,732975
"66077500_HOTEL_BAIAZINHA";1,826675;33,30965;45,2764;40,577975
"66090000_DESCALVADOS";3,881225;36,5784;48,446675;41,587625
"66120000_PORTO_CONCEICAO";5,250475;36,8497;46,480775;37,8413
"66125000_BELA_VISTA_DO_NORTE";5,326575;38,311525;46,211925;35,3478
"66260002_CUIABA";16,344375;33,736875;78,994875;60,74295
"66270000_SANTO_ANTONIO_DO_LEVERGER";16,0659;33,980825;76,68705;59,591875
"66460000_CORREGO_GRANDE";2,72455;31,681125;55,070275;28,568525
"66470000_SAO_JOSE_DO_BORIREU";11,95835;27,374625;61,713625;45,646975
"66600000_SAO_JERONIMO";18,25965;29,454;55,8594;37,969675
"66650000_SAO_JOSE_DO_PIQUIRI";11,3991;27,90255;56,655875;37,0853
"66750000_PORTO_DO_ALEGRE";11,90805;26,82175;54,2561;34,651375
"66800000_AMOLAR";7,30205;29,537325;40,548225;20,706075
"66810000_SÃO_FRANCISCO";7,537525;29,284725;39,950775;19,59415
"66825000_LADÁRIO";8,3514;28,698025;39,358425;18,024075
"66870000_COXIM";2,665675;18,523775;23,55045;21,72825
"66895000_PORTO_DA_MANGA";8,843325;29,073925;38,45635;17,497475
"66900000_PONTE_MT738";-0,58685;2,298575;-10,86425;-40,7771
"66910000_MIRANDA";-1,35405;7,0549;-8,4094;-41,194
"66941000_PALMEIRAS";0,937625000000001;11,776325;1,996125;7,156825
"66945000_AQUIDAUANA";1,855225;19,842725;6,05972500000001;2,520825
"66960008_PORTO_ESPERANÇA";6,730325;26,621025;31,09235;12,30975
"66970000_FORTE_COIMBRA";6,769625;26,60645;31,0638;12,274425
"67030000_BARRANCO_BRANCO";7,643925;23,633;28,4325;5,81627499999999
"67100000_PORTO_MURTINHO";7,60725;23,5289;27,690025;5,00825
"74100000_IRAI";-3,12075;-16,704075;-11,50235;6,92757499999999
"74329000_ITAPIRANGA";-2,9052;-15,172625;-9,66005;10,065675
"74500000_ALTO_URUGUAI";-2,712525;-13,919;-7,491125;12,177425
"74720000_PORTO_MAUA";-2,6931;-12,749525;-3,093825;18,175025
"74800000_PORTO_LUCENA";-2,6892;-11,733075;0,667225000000002;24,031775
"75550000_GARRUCHOS";-1,53205;-6,5446;8,563625;39,582125
"75780000_PASSO_SAO_BORJA";-1,6398;-5,553925;9,062775;39,295225
"75900000_ITAQUI";-1,748725;-5,279525;8,688025;37,7636
"76310000_ROSARIO_DO_SUL";NA;NA;NA;NA
"76310000_ROSÁRIO_DO_SUL";-3,412325;71,609625;63,91635;97,996525
"76560000_MANOEL_VIANA";-3,97895;10,22835;6,4357;85,659975
"76750000_ALEGRETE";-4,244875;13,547525;-5,121225;43,7742
"76800000_PASSO_MARIANO_PINTO";-4,017975;9,68755;7,3796;74,08865
"77150000_URUGUAIANA";-2,45255;-1,359475;7,96365;45,107475
"77500000_QUARAÍ";-4,174;15,231825;-7,12315;89,156325
"86510000_MUÇUM";1,01;-15,76535;-27,9035;-39,835225
"87170000_BARCA_DO_CAÍ";-2,151525;-17,275325;-33,26515;-56,351875
"sem_código_AD_Humaitа";0,43;20,39085;30,350475;51,77615
"sem_código_AD_PARINTIS";0,908375;23,1565;48,094675;85,925425
"sem_código_AD_Pontes_e_Lacerda";0,6633;3,3271;11,480825;24,86435
"sem_código_AD_Presidente_Juscelino_Jusante";25,50085;55,147275;70,61415;63,186175
"sem_código_AD_Rio_Japura";0,868525;30,9193;83,391225;153,4649
"sem_código_AD_Rio_Jurua";1,086375;17,330975;43,650225;108,4945
"sem_código_AD_Rio_Purus";1,115075;24,0224;59,2739;117,214725
"sem_código_AD_UHE-Jirau_Jusante_Ben_Guajara_mirimi";0,57565;22,991575;49,97785;104,4095
"sem_código_ALERTA_Bacia_Araguaia";14,2471;32,394825;64,41165;54,976
"sem_código_ALERTA_CPRM_ACRE";-0,6563;10,24365;23,6557;62,137025
"sem_código_ALERTA_CPRM_AMAZONAS";0,9609;23,373175;51,42235;96,5441
"sem_código_ALERTA_CPRM_BRANCO";-1,79375;-14,122475;-17,606175;-41,354925
"sem_código_ALERTA_CPRM_CAÍ";-2,872275;-16,3211;-31,790775;-57,3397
"sem_código_ALERTA_CPRM_DOCE";6,201675;25,33185;42,067175;19,825225
"sem_código_ALERTA_CPRM_ITAPECURU";12,992225;22,978;19,911825;4,7137
"sem_código_ALERTA_CPRM_MADEIRA";0,57365;20,364075;34,274875;57,89265
"sem_código_ALERTA_CPRM_MUNDAÚ";6,522475;-7,0278;4,0155;-24,370675
"sem_código_ALERTA_CPRM_MURIAÉ";15,34085;42,8711;52,931;47,2158
"sem_código_ALERTA_CPRM_PARAGUAI";7,44005;22,9413;26,758225;4,33652499999999
