"";"Chuva em 24 horas (mm)";"Chuva em 7 dias (mm)";"Chuva em 14 dias (mm)";"Chuva em 28 dias (mm)"
"10100000_TABATINGA";7,96;22,99;63,52;145,42
"13438000_ASSIS_BRASIL";1,15;8,66;56,62;379,64
"13459000_BRASILÉIA";2,85;10,93;62,84;322,21
"13550000_XAPURI";3,1;11,57;60,65;304,42
"13568000_CAPIXABA";6,83;19,04;66,82;278,93
"13600002_RIO_BRANCO";7,13;23,84;70,2;269,12
"14100000_MANACAPURU";6,86;38,79;85,38;176,65
"14420000_SERRINHA";0,32;46,22;81,22;117,21
"14620000_BOA_VISTA";0;2,01;3,67;10,53
"14710000_CARACARAÍ";0;1,73;3,11;9,18
"14990000_MANAUS";2,64;38,35;64;106,51
"15130000_PIMENTEIRAS";7,76;17,23;76,8;137,14
"15150000_PEDRAS_NEGRAS";9,95;18,87;68,51;134,21
"15200000_PRINCIPE_DA_BEIRA";5,28;13,53;44,51;115,88
"15250000_GUAJARA-MIRIM";5,26;17,06;57,51;139,88
"15318000_UHE_JIRAU_JUSANTE_RIO_BENI";5,33;18,56;66,07;172,37
"15320002_ABUNA";5,31;18,62;66,03;172,5
"15326000_MORADA_NOVA";0,88;27,41;51,81;227,58
"15400000_PORTO_VELHO";5,06;19,21;65,91;175,72
"15430000_ARIQUEMES";0;30,55;60,51;137,08
"15490000_PROSPERIDADE";5,05;19,19;65,91;175,67
"15560000_JI-PARANA";5,11;25,85;79,13;164,76
"15580000_TABAJARA";2,83;28,91;71,4;159,13
"18460000_BOA_SORTE";1,35;25,46;48,73;188,27
"18500000_BOA_ESPERANÇA";11,48;37,96;63,1;200,73
"18700000_PEDRA_DO_Ó";7,04;32,24;68,28;284,83
"18850000_ALTAMIRA";5,38;32,91;59,55;215,49
"23700000_DESCARRETO";2,83;34,13;64,16;193
"24700000_BARRA";0,02;14,02;29,87;88,7
"24850000_ARAGUAIANA";0,05;11,69;26,31;89,81
"25200000_ARUANÃ";0,66;11,8;26,29;98,59
"25700000_BANDEIRANTES";0,58;10,93;24,8;95,21
"26350000_SAO_FELIX_DO_ARAGUAIA";0,4;10,38;27,33;95,62
"27320000_ARAGUACEMA_CHACARA_ARAGUAIA";1,45;18;40,76;113,63
"27500000_CONCEICAO_DO_ARAGUAIA";1,89;18,88;41,38;114,16
"28300000_XAMBIOA";4,81;24,39;49,36;126,91
"28850000_ARAGUATINS";5,35;25,72;51,01;131,52
"29050000_MARABA";4,43;29,71;57,04;159,47
"29200000_ITUPIRANGA";5,03;31,45;60,09;162,97
"33530000_MONTEVIDÉU";8,98;57,81;101,77;238,41
"33530000_MONTEVIDÉU_TOTAL";8,98;57,81;101,77;238,41
"33550000_CAXIAS";12,34;106,4;126,7;290,42
"33550000_CAXIAS_TOTAL";9,5;65,28;105,62;246,42
"33590000_CODÓ";NA;NA;NA;NA
"33590000_CODÓ_TOTAL";10,25;70,47;107,84;257,64
"33630000_COROATÁ";NA;NA;NA;NA
"33630000_COROATÁ_TOTAL";9,67;72,52;108,56;261,34
"33680000_CANTANHEDE";15,94;69,81;107,92;310,32
"33680000_CANTANHEDE_TOTAL";10,44;72,2;108,49;267,29
"33690000_ITAPECURU_MIRIM";11,59;54,16;82,4;181,27
"33691000_ITAPECURU_MIRIM_TOTAL";10,46;71,75;107,86;265,26
"34311000_BARÃO_DE_GRAJAÚ";1,96;11,74;41,42;152,78
"34660000_FAZENDA_VENEZA";2,35;15;40,75;162,16
"34690000_TERESINA_-_CHESF";2,46;15,62;41,53;162,92
"34790000_FAZENDA_CANTINHO";8,2;33,71;64;227,66
"39700000_SANTANA_DO_MUNDAÚ";2,88;12,9;13,89;55,76
"39720000_SÃO_JOSÉ_DA_LAJE";4,76;19,56;24,22;63,13
"39740000_UNIÃO_DOS_PALMARES";5,83;18,47;23,6;55,99
"39760000_MURICI_-_PONTE";6,65;17,87;22,66;51,73
"39770000_FAZENDA_BOA_FORTUNA";8,8;18,85;23,35;50,99
"41195000_RIO_ACIMA";0,02;1,46;28,1;90,14
"41200430_RAPOSOS";0,02;1,32;33,58;97,53
"41260000_PINHÕES";0,01;1,61;36,97;99,96
"41340000_PONTE_RAUL_SOARES";0,15;2,33;35,02;95,27
"41410000_JEQUITIBÁ";0,14;1,95;32,85;87,52
"41650002_PONTE_DO_LICÍNIO_JUSANTE";0,08;2,41;26,55;72,44
"41818000_SANTO_HIPÓLITO";0,14;3,69;24,13;70,13
"41990000_VÁRZEA_DA_PALMA";0,13;5,75;21,79;87,51
"42980000_PORTO_ALEGRE";0,26;12,74;29,52;103,46
"43429998_ARINOS_MONTANTE";0,77;37,64;118,62;210,9
"44200000_SAO_FRANCISCO";0,44;9,64;34,06;108,09
"44940000_GADO_BRAVO";1,69;4;7,85;161,99
"45131000_SÃO_GONÇALO";0,01;15,65;46,81;108,96
"45960001_PORTO_NOVO";0,42;6,19;22,49;102,54
"46902000_BOQUEIRÃO";0,02;4,03;15,03;149,72
"56110000_PONTE_NOVA";1,62;6,81;55,99;152,45
"56540001_CACHOEIRA_DOS_ÓCULOS";1,28;4,51;35;122,45
"56660000_NOVA_ERA";10,53;12,6;28,12;98,66
"56696000_MARIO_DE_CARVALHO";9,51;11,25;29,3;98,16
"56719998_BELO_ORIENTE";2,88;5,79;32,29;115,55
"56825000_NAQUE_VELHO";0,91;8,94;32,32;90,41
"56850000_GOVERNADOR_VALADARES";1,93;7,76;31,47;107,42
"56892000_VILA_MATIAS";0;20,83;44,14;128,22
"56920000_TUMIRITINGA";1,43;12,14;33,95;112,7
"56990000_SÃO_SEBASTIÃO_DA_ENCRUZILHADA";0,04;10,52;22,32;112,25
"56994500_COLATINA";1,03;13,27;31,49;110,03
"58730001_GUARANI";1,57;5,07;61,76;166,81
"58735000_ASTOLFO_DUTRA";1,21;4,68;50,01;149,94
"58736000_BARRA_DO_XOPOTÓ";0;2,98;37,02;109,08
"58770000_CATAGUASES";0,77;3,41;54,68;154,31
"58790000_SANTO_ANTÔNIO_DE_PÁDUA";0,56;2,59;47,82;137,55
"58792100_APERIBÉ";0,53;2,47;46,93;134,22
"58920000_PATROCÍNIO_DO_MURIAÉ";0;0,72;31,96;129,13
"58930000_CARANGOLA";0;0,15;66,92;163,79
"58934000_PORCIUNCULA";0;0,07;59,84;159,39
"58940000_ITAPERUNA";0;0,36;44,94;140,51
"58960000_CARDOSO_MOREIRA";0;0,28;48,93;142,31
"66010000_BARRA_DO_BUGRES";3,88;16,27;38,79;105,61
"66070004_CACERES_DNPVN";8,21;21,97;49,7;116,01
"66077500_HOTEL_BAIAZINHA";7,71;24,62;59,88;121,01
"66090000_DESCALVADOS";6,99;23,16;56,49;112,26
"66120000_PORTO_CONCEICAO";6;21,07;54,92;107,54
"66125000_BELA_VISTA_DO_NORTE";5,69;19,83;54,08;105,96
"66260002_CUIABA";0,57;17,64;43,96;93,18
"66270000_SANTO_ANTONIO_DO_LEVERGER";0,53;17,73;43,49;91,01
"66460000_CORREGO_GRANDE";3,67;17,27;39,63;71,94
"66470000_SAO_JOSE_DO_BORIREU";0,83;13,03;36,88;74,08
"66600000_SAO_JERONIMO";1,71;25,49;70,76;109,47
"66650000_SAO_JOSE_DO_PIQUIRI";1,72;16,92;46,43;82,11
"66750000_PORTO_DO_ALEGRE";1,55;15,53;46,63;80,98
"66800000_AMOLAR";3,06;16,75;49,67;90,83
"66810000_SÃO_FRANCISCO";2,98;16,4;49,11;90,18
"66825000_LADÁRIO";2,86;15,89;47,73;88,61
"66870000_COXIM";1,39;22,4;56,02;114,65
"66895000_PORTO_DA_MANGA";2,76;15,38;45,92;87,44
"66900000_PONTE_MT738";0,38;0,66;15,66;38,85
"66910000_MIRANDA";0,32;0,58;18,88;40,89
"66941000_PALMEIRAS";0,68;13,31;29,12;63,85
"66945000_AQUIDAUANA";0,76;9,45;28,03;58,14
"66960008_PORTO_ESPERANÇA";2,23;14,03;43,19;84,16
"66970000_FORTE_COIMBRA";2,23;14,01;43,13;84,02
"67030000_BARRANCO_BRANCO";1,71;10,86;37,04;72,56
"67100000_PORTO_MURTINHO";1,85;10,81;36,74;72,08
"71200000_Vila_Canoas";1,04;10,41;54,64;93,47
"71300000_Rio_Bonito";0,68;8,91;54,48;97,94
"71350001_Encruzilhada_II";0,52;10,8;59,94;102,32
"72715000_Rio_das_Antas";0,41;8,19;82,85;156,47
"72810000_Tangara";0,46;6,85;64,23;119,71
"72849000_Joacaba_I";0,46;7,92;61,54;114,27
"73770000_Porto_Fae_Novo";3,97;16,74;74,07;146,1
"73900000_Saudades";2,38;42,3;108,74;174,94
"73960000_Barra_do_Chapeco_Aux.";3,09;25,3;83,99;159,11
"74100000_IRAI";0,6;20,98;74,68;133,44
"74295000_Linha_Jatai";0,88;36,36;84;163,12
"74300000_Guatapara_de_Baixo";1,02;43,83;109,2;201,4
"74320000_Ponte_do_Sargento";0,54;45,9;96,63;193,73
"74329000_ITAPIRANGA";0,55;23,57;77,34;137,27
"74500000_ALTO_URUGUAI";0,56;25,09;77,91;137,63
"74720000_PORTO_MAUA";0,73;27,4;78,85;139,04
"74800000_PORTO_LUCENA";0,79;28,85;79,44;140,7
"75230000_Santo_Angelo";0,08;27,16;87,21;144,22
"75550000_GARRUCHOS";0,76;31,07;80,45;140,16
"75780000_PASSO_SAO_BORJA";0,78;32,41;80,97;142,9
"75900000_ITAQUI";0,75;33,49;81,53;143,24
"76251000_Dom_Pedrito";0;39,74;46,9;66,78
"76300000_Ponte_Ibicui_da_Armada";0,58;65,51;90,69;127,68
"76310000_ROSARIO_DO_SUL";NA;NA;NA;NA
