"";"ETP em 24 horas (mm)";"ETP em 7 dias (mm)";"ETP em 14 dias (mm)";"ETP em 28 dias (mm)"
"10100000_TABATINGA";1,95706923076923;13,7566461538462;27,7074153846154;55,6338038461538
"13438000_ASSIS_BRASIL";2,44190769230769;17,1264769230769;34,3956384615385;69,0248807692308
"13459000_BRASILÉIA";2,42233076923077;16,9753461538462;34,0477769230769;68,2855884615385
"13550000_XAPURI";2,41142307692308;16,8951846153846;33,8731692307692;67,9177096153846
"13568000_CAPIXABA";2,41075384615385;16,8773076923077;33,7982692307692;67,7385307692308
"13600002_RIO_BRANCO";2,40272307692308;16,8069;33,6182769230769;67,3561846153846
"14100000_MANACAPURU";2,15304615384615;15,0684384615385;30,1779076923077;60,5295019230769
"14420000_SERRINHA";2,20249230769231;15,5519615384615;31,5299692307692;63,4608519230769
"14620000_BOA_VISTA";2,03597692307692;14,2718;28,7073692307692;57,8379942307692
"14710000_CARACARAÍ";2,10479230769231;14,7632538461538;29,7105461538462;59,8353326923077
"14990000_MANAUS";2,23410769230769;15,7099153846154;31,6856153846154;63,7285961538462
"15130000_PIMENTEIRAS";2,55536153846154;18,0637923076923;36,6307230769231;73,5897788461538
"15150000_PEDRAS_NEGRAS";2,6354;18,5815307692308;37,5607153846154;75,4302192307692
"15200000_PRINCIPE_DA_BEIRA";2,63488461538462;18,6144538461538;37,7401153846154;75,8872961538462
"15250000_GUAJARA-MIRIM";2,40953076923077;17,1002846153846;34,8838769230769;70,2632942307692
"15318000_UHE_JIRAU_JUSANTE_RIO_BENI";2,32927692307692;16,5055461538462;33,6055;67,6624038461539
"15320002_ABUNA";2,32987692307692;16,5085923076923;33,6081230769231;67,6657480769231
"15326000_MORADA_NOVA";2,57708461538462;17,9272692307692;35,5839307692308;71,1382480769231
"15400000_PORTO_VELHO";2,34291538461538;16,5798384615385;33,6955076923077;67,8094711538461
"15430000_ARIQUEMES";2,55353846153846;17,7014153846154;34,9371384615385;69,6567615384615
"15490000_PROSPERIDADE";2,34321538461538;16,5816076923077;33,6981153846154;67,8139480769231
"15560000_JI-PARANA";2,53693076923077;17,6882923076923;35,1886230769231;70,2926346153846
"15580000_TABAJARA";2,54277692307692;17,6670538461538;34,9736230769231;69,7634173076923
"18460000_BOA_SORTE";3,02736153846154;21,0731;41,7897615384615;83,2922730769231
"18500000_BOA_ESPERANÇA";3,27810769230769;22,5261230769231;43,8931846153846;87,1536211538461
"18700000_PEDRA_DO_Ó";3,28628461538462;22,5077769230769;43,6735769230769;86,6921519230769
"18850000_ALTAMIRA";3,09963846153846;21,4021615384615;41,9889846153846;83,5269576923077
"23700000_DESCARRETO";2,67698461538462;18,765;37,5397769230769;74,8953230769231
"24700000_BARRA";2,20748461538462;15,7350076923077;32,2299615384615;64,8180403846154
"24850000_ARAGUAIANA";2,228;15,8854538461538;32,5420692307692;65,4255403846154
