"Codigo";"Latitude";"Longitude";"Area";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI";"Atencao";"Alerta";"Inunda";"Status"
10100000;-4,235;-69,945;874000;"Tabatinga";2025-09-12 18:15:00;2025-09-12 17:15:00;2025-09-12 16:15:00;318;12;;;-217;14;25,6;"SOLIMOES";;;"1999";306;-20;568;"40%-50%";;;;;
10500000;-4,341;-70,906;61400;"ESTIRÃO DO REPOUSO";2025-09-12 09:45:00;2025-09-12 08:45:00;2025-09-12 07:45:00;416;31;37;;;28,2;82,8;"JAVARI";230;;"2019";491;233;1002;"30%-40%";;;;;
10910000;-4,584;-70,264;36900;"LADÁRIO - JUSANTE";2025-09-12 09:45:00;2025-09-12 08:45:00;2025-09-12 07:45:00;663;;-36;;;14;32,2;"ITACUAI";475;;"2001";675;470;1261;"40%-50%";;;;;
11400000;-3,457;-68,912;1010000;"SÃO PAULO DE OLIVENÇA";2025-07-24 10:00:00;2025-07-24 09:00:00;2025-07-24 08:00:00;1122;-24;;;;0;0;"SOLIMÕES";27;;"2015";515;42;830;"100%-Máxima";;;;;
12240000;-3,337;-67,492;64400;"PORTO SEGURO";2025-09-01 09:45:00;2025-09-01 08:45:00;2025-09-01 07:45:00;881;;;;;0;0;"JUTAÍ";752;;"2015";859,5;750;1035;"60%-70%";;;;;
12351000;-2,491;-66,062;1220000;"Fonte Boa";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;1431;-9;-106;-236;-305;3,2;3,2;"SOLIMOES";;;"2015";1297;913;1609;"60%-70%";;;;;
12500000;-7,633;-72,66;37800;"Cruzeiro do Sul";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;378;-4;1;-7;-34;0;0;"JURUÁ";;;"2009";372;268;657;"50%-60%";;1000;1180;1300;"Normal"
12520000;-7,056;-71,689;56100;"IPIXUNA";2025-09-07 10:45:00;2025-09-07 09:45:00;2025-09-07 08:45:00;318;;4;;;0;0;"JURUÁ";;;"1986";282,5;187;492;"60%-70%";;;;;
12590000;-8,152;-70,746;8770;"PONTE DE TARAUACÁ";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;312;6;15;;;0,8;38,2;"TARAUACÁ";294;;"2017";375;292;482;"0%-11%";;;;;
12650000;-8,164;-70,356;17000;"Feijó";2025-06-09 19:00:00;2025-06-09 18:00:00;2025-06-09 17:00:00;487;18;-67;-132;-31;0;0;"FEIJÓ";;;"2021";397,5;339;540;"90%-100%";;1200;1350;1400;"Normal"
12845000;-1,395;-69,428;206000;"VILA BITTENCOURT";2025-09-01 07:00:00;2025-09-01 06:00:00;2025-09-01 05:00:00;1045;;;;;0;0;"JAPURÁ";658;;"1989";970;655;1163;"70%-80%";;;;;
12850000;-1,821;-66,609;249000;"ACANAUI";2025-09-06 20:45:00;2025-09-06 19:45:00;2025-09-06 18:45:00;1254;;;;;0;0;"JAPURÁ";707;;"1989";1078,5;712;1277;"90%-100%";;;;;
13150000;-4,058;-63,028;1780000;"Itapéua";2024-11-25 17:00:00;2024-11-25 16:00:00;2024-11-25 15:00:00;329;-4;-24;136;;0;0;"SOLIMOES";;;"2020";1048;392;1414;"Mínima-0%";;;;;
13150003;-4,086;-63,083;1780000;"COARI";2025-09-01 17:00:00;2025-09-01 16:00:00;2025-09-01 15:00:00;1392;-10;;;;0;0;"SOLIMÕES";232;;"2015";925;249;1547;"90%-100%";;;;;
13169900;-9,434;-70,494;15917;"SANTA ROSA DO PURUS - SEDE";2025-09-12 08:00:00;2025-09-12 07:00:00;2025-09-12 06:00:00;153;;;;;0;0;"PURUS";;;"2021";246;196;276;"Mínima-0%";;;;;
13180000;-8,889;-69,275;32800;"MANOEL URBANO";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;252;-2;-1;;;0,2;6,4;"PURUS";244;;"1997";396;251;506;"0%-10%";;;;;
13300000;-9,374;-68,724;11200;"SERINGAL SÃO JOSÉ";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;189;6;8;;;0,2;1,2;"IACO";185;;"1999";311;185;423;"0%-10%";;;;;
13310000;-9,068;-68,653;18000;"Sena Madureira";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;51;2;-3;5;-22;0;4,8;"IACO";;;"2021";185;66;434;"Mínima-0%";;1300;1400;1520;"Normal"
13450000;-10,944;-69,566;3760;"ASSIS BRASIL";2025-03-25 17:15:00;2025-03-25 16:15:00;2025-03-25 15:15:00;324;-46;-124;-220;-125;0;0;"ACRE";;;"2012";248;192;320;"100%-Máxima";;1000;1130;1250;"Normal"
13470000;-11,018;-68,745;7020;"BRASILEIA";2025-09-12 18:15:00;2025-09-12 17:15:00;2025-09-12 16:15:00;83;-2;-29;9;8;0;3,2;"ACRE";;;"2024";184,5;107;280;"Mínima-0%";;880;980;1140;"Normal"
13540000;-10,561;-68,705;3730;"COLONIA DOLORES";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;217;-2;17;15;-19;16;27,8;"XAPURI";;;"2015";317;277;349;"Mínima-0%";;;;;
13550000;-10,651;-68,508;8270;"XAPURI";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;172;-7;0;17;11;0,4;4,8;"ACRE";;;"2015";261,5;158;420;"0%-10%";;1150;1250;1340;"Normal"
13568000;-10,389;-67,935;15000;"CAPIXABA";2025-09-12 18:15:00;2025-09-12 17:15:00;2025-09-12 16:15:00;136;-22;-9;41;38;1,6;2;"ACRE";;;;;;;;;;;;
13572000;-10,005;-68,529;3210;"ESPALHA";2025-09-12 18:15:00;2025-09-12 17:15:00;2025-09-12 16:15:00;19;-2;-1;3;-1;0;25,4;"DO ROLA";;;;;;;;;;;;
13578000;-10,057;-67,964;6520;"RIO ROLA";2025-09-12 18:15:00;2025-09-12 17:15:00;2025-09-12 16:15:00;62;;2;;;0,2;27,8;"DO ROLA";;;"2023";132;71;208;"Mínima-0%";;;;;
13600002;-9,975;-67,801;23500;"RIO BRANCO";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;202;25;52;53;;8,6;13,4;"ACRE";;;"2015";279;134;390;"10%-20%";;1250;1350;1400;"Normal"
13650000;-9,067;-67,397;34400;"Floriano Peixoto";2025-08-30 18:45:00;2025-08-30 17:45:00;2025-08-30 16:45:00;430;;-19;;-98;0;0;"ACRE";;;"1997";481;349;657;"0%-10%";;;;;
13710001;-8,653;-67,375;105000;"Valparaíso Montante";2025-09-03 12:45:00;2025-09-03 11:45:00;2025-09-03 10:45:00;303;;;;;0;0;"PURUS";;;"1997";407;319;540;"Mínima-0%";;;;;
13870000;-7,258;-64,798;226000;"LÁBREA";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;460;2;-21;;;0;32,6;"PURUS";362;;"1997";483;52;830;"30%-40%";;;;;
13990000;-3,899;-61,374;378000;"Beruri";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;1681;-16;-95;-167;-227;0;10,8;"PURUS";;;"2015";1468;970;1854;"80%-90%";;;;;
14100000;-3,311;-60,609;2200000;"Manacapuru";2025-09-12 18:15:00;2025-09-12 17:15:00;2025-09-12 16:15:00;1610;-14;-84;-149;-202;0;0;"SOLIMOES";;;"2021";1401;881;1723;"80%-90%";;1700;1770;1960;"Normal"
14320001;-0,137;-67,086;193000;"São Gabriel da Cachoeira";2024-10-22 16:45:00;2024-10-22 15:45:00;2024-10-22 14:45:00;193;;;;;0;0;"NEGRO";;;;;;;;;;;;
14400000;-0,42;-65,015;262000;"Tapuruquara";2024-10-22 16:45:00;2024-10-22 15:45:00;2024-10-22 14:45:00;193;;;;;0;0;"NEGRO";;;;;;;;;;;;
14420000;-0,482;-64,829;293000;"Serrinha";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;832;0;10;;;0;0;"NEGRO";;;"2019";762;557;896;"80%-90%";;;;;
14480002;-0,966;-62,931;379000;"Barcelos";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;643;-9;;-137;;0;0;"NEGRO";;;"2022";572;358;782;"70%-80%";;;;;
14489000;3,353;-61,422;26700;"MARACA";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;610;3;-9;-5;-27;0;0,2;"URARICOERA";;;"2021";566;466;678;"70%-80%";;;;;
14495000;3,438;-61,037;36900;"FAZENDA CAJUPIRANGA";2025-09-12 19:15:00;2025-09-12 18:15:00;2025-09-12 17:15:00;685;6;-13;-10;-31;0;7,4;"URARICOERA";;;"2021";637;523;802;"70%-80%";;;;;
14515000;3,208;-60,571;50200;"FAZENDA PASSARAO";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;768;10;-38;-45;-89;0;0,4;"URARICOERA";;;"2011";770;604;1002;"40%-50%";;;;;
14527000;3,568;-59,888;24300;"PONTE DO TACUTU";2025-09-10 20:30:00;2025-09-10 19:30:00;2025-09-10 18:30:00;572;-2;;-44;;0;0;"TACUTU";;;"2011";649,5;454;870;"30%-40%";;;;;
14530000;4,196;-60,794;2280;"VILA SURUMU";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;304;-3;-39;-24;-52;0;4,4;"SURUMU";;;"2015";367;264;674;"10%-20%";;;;;
14540000;4,631;-60,471;3210;"FAZENDA BANDEIRA BRANCA";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;177;-13;-17;-39;-36;0;0;"COTINGO";220;;"2011";198;112;450;"20%-30%";;;;;
14558000;3,318;-60,345;40600;"FAZENDA PARAISO";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;588;-4;-37;-38;-135;0;0;"TACUTU";582;;"2017";676,5;499;885;"20%-30%";;;;;
14620000;2,827;-60,656;97200;"BOA VISTA";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;253;3;-65;-51;-134;0;0;"BRANCO";;;"2011";298,5;135;624;"20%-30%";;750;800;850;"Normal"
14680001;2,871;-61,441;12200;"FE E ESPERANCA";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;341;-7;-17;-40;-38;0;2,4;"MUCAJAÍ";;;"1976";320;223;470;"70%-80%";;;;;
14690000;2,471;-60,918;19800;"MUCAJAI";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;1143;-6;-46;-59;-131;0;0;"MUCAJAÍ";;;"2011";1135;954;1269;"50%-60%";;;;;
14710000;1,821;-61,124;126000;"CARACARAI";2025-09-12 19:15:00;2025-09-12 18:15:00;2025-09-12 17:15:00;366;-11;-92;-71;-221;0;17,2;"BRANCO";;;"2011";358;154;768;"50%-60%";;800;850;900;"Normal"
14790000;-0,505;-61,786;184000;"SANTA MARIA DO BOIAÇU";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;851;-13;-81;-206;-262;0;21,6;"BRANCO";778;;"2011";824;520;1085;"50%-60%";;;;;
14840000;-1,457;-61,635;593000;"MOURA";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;1136;-12;-87;-163;-221;0;0,8;"NEGRO";644;;"2022";1011;658;1165;"80%-90%";;;;;
14990000;-3,138;-60,027;712000;"Manaus";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;2537;-12;-82;-147;-201;0;0;"NEGRO";;;"2012";2316,5;1735;2689;"80%-90%";;2650;2750;2900;"Normal"
15124009;-13,513;-60,53;3600;"CABIXI";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;205;5;-3;;;0;3,8;"CABIXI";160;;"2002";212;161;286;"20%-30%";;;;;
15130000;-13,486;-61,05;54400;"PIMENTEIRAS";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;315;-2;-10;;;0;2,8;"GUAPORÉ";256;;"1988";319,5;261;366;"40%-50%";;;;;
15150000;-12,851;-62,899;110000;"Pedras Negras";2025-09-12 18:15:00;2025-09-12 17:15:00;2025-09-12 16:15:00;282;-2;-14;-29;-52;0;0;"GUAPORÉ";217;;"1988";265,5;217;325;"60%-70%";;;;;
15200000;-12,427;-64,425;341000;"Príncípe da Beira";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;410;-2;-15;-33;-61;0;0,4;"GUAPORÉ";351;;"2014";406;352;501;"50%-60%";;;;;
