"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"41340000";"Ponte Raul Soares";2025-01-31 18:00:00;2025-01-31 17:00:00;2025-01-31 16:00:00;264;-105;149;22;-3;9,8;87,4;"DAS VELHAS";;;"2022";184;36;665;"70%-80%";
"41410000";"Jequitibá";2025-01-31 18:00:00;2025-01-31 17:00:00;2025-01-31 16:00:00;376;40;219;158;-135;6,6;23;"DAS VELHAS";167;;"2022";234;69;792;"80%-90%";
"41650002";"Ponto do Licínio";2025-01-31 18:00:00;2025-01-31 17:00:00;2025-01-31 16:00:00;322;70;150;29;;0;0;"DAS VELHAS";272;;"2022";250;146;953;"60%-70%";
"41780002";"Presidente Juscelino";2025-01-31 18:15:00;2025-01-31 17:15:00;2025-01-31 16:15:00;128;-6;22;-70;-193;2,6;45;"PARAUNA";;;"2020";106;57;353;"60%-70%";
"41818000";"Santo Hipólito";2025-01-31 17:45:00;2025-01-31 16:45:00;2025-01-31 15:45:00;255;32;56;-125;-289;0;0;"DAS VELHAS";315;;"2020";236,5;77;870;"50%-60%";
"44200000";"São Francisco";2025-01-31 18:15:00;2025-01-31 17:15:00;2025-01-31 16:15:00;491;7;-200;-329;-180;14,4;14,4;"SÃO FRANCISCO";549;;"1992";582;153;1085;"30%-40%";
"45298000";"Carinhanha";2025-01-31 17:30:00;2025-01-31 16:30:00;2025-01-31 15:30:00;460;-47;;-154;-93;15,6;15,6;"SÃO FRANCISCO";367;;"1979";397;81;782;"40%-50%";
"45480000";"Bom Jesus da Lapa";2025-01-31 17:30:00;2025-01-31 16:30:00;2025-01-31 15:30:00;710;-27;-80;-43;9;12;13,4;"SÃO FRANCISCO";492;;"1979";478;134;910;"90%-100%";
"45960001";"Porto Novo";2025-01-31 18:00:00;2025-01-31 17:00:00;2025-01-31 16:00:00;127;-3;-29;-232;-49;0;0;"CORRENTE";125;;"2016";139,5;42;466;"40%-50%";
"46675000";"Fazenda Macambira";2024-11-28 10:00:00;2024-11-28 09:00:00;2024-11-28 08:00:00;221;4;18;57;70;0;0;"GRANDE";317;;"2021";182,5;68;385;"70%-80%";
"46902000";"Boqueirão";2025-01-31 18:15:00;2025-01-31 17:15:00;2025-01-31 16:15:00;200;-4;1;44;77;0;2,2;"GRANDE";136;;"1980";167;76;399;"70%-80%";
"46998000";"Barra";2025-01-31 16:30:00;2025-01-31 15:30:00;2025-01-31 14:30:00;629;-2;12;49;125;0;0;"SÃO FRANCISCO";297;;"1926";465,5;110;755;"80%-90%";
