"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"71200000";"Vila Canoas";2025-08-15 03:00:00;2025-08-15 02:00:00;2025-08-15 01:00:00;142;-5;-36;18;24;0,2;0,2;"CANOAS";;;;;;;;
"71300000";"Rio Bonito";2025-08-15 03:00:00;2025-08-15 02:00:00;2025-08-15 01:00:00;207;-25;-107;42;84;0;0;"CANOAS";;;"1990";154;47;1076;"50%-60%";
"71350001";"Encruzilhada II";2025-08-15 03:00:00;2025-08-15 02:00:00;2025-08-15 01:00:00;219;-32;-78;20;74;0,2;0,8;"CANOAS";;;"2017";170;105;947;"50%-60%";
"72715000";"Rio das Antas";2025-08-15 03:00:00;2025-08-15 02:00:00;2025-08-15 01:00:00;152;0;-10;1;1;0;0,4;"DO PEIXE";;;"1997";146;87;220;"80%-90%";
"72810000";"Tangará";2025-08-15 03:00:00;2025-08-15 02:00:00;2025-08-15 01:00:00;85;-4;-27;17;1;0;0,2;"DO PEIXE";;;"2022";86,5;65;197;"40%-50%";
"72849000";"Joaçaba I";2025-08-15 03:00:00;2025-08-15 02:00:00;2025-08-15 01:00:00;126;-7;-106;30;31;0;0;"DO PEIXE";;;"2014";114,5;64;543;"50%-60%";
"73770000";"Porto Fae Novo";2025-08-15 02:45:00;2025-08-15 01:45:00;2025-08-15 00:45:00;137;55;-25;50;-10;0;0,6;"CHAPECÓ";;;"1983";124;38;591;"60%-70%";
"73960000";"Barra do Chapecó Aux.";2025-08-06 19:00:00;2025-08-06 18:00:00;2025-08-06 17:00:00;220;-3;26;59;24;0;0;"CHAPECÓ";;;"1983";179;140;513;"70%-80%";
"74100000";"Iraí";2025-08-15 03:00:00;2025-08-15 02:00:00;2025-08-15 01:00:00;293;22;-41;25;39;0,2;1;"URUGUAI";;;"1983";224;116;678;"60%-70%";
"74295000";"Linha Jataí";2025-08-15 03:00:00;2025-08-15 02:00:00;2025-08-15 01:00:00;80;-7;-65;-12;11;0;0,6;"IRACEMA";;;"1983";76,5;53;245;"50%-60%";
"74300000";"Guatapara de Baixo";2025-08-15 03:15:00;2025-08-15 02:15:00;2025-08-15 01:15:00;57;-1;-7;-2;1;0;0,2;"DAS ANTAS";;;"2013";76;60;119;"Mínima-0%";
"74320000";"Ponte do Sargento";2025-05-12 10:00:00;2025-05-12 09:00:00;2025-05-12 08:00:00;-13;2;0;1;0;0;0;"SARGENTO";;;;;;;;
"74329000";"Itapiranga";2025-08-15 03:15:00;2025-08-15 02:15:00;2025-08-15 01:15:00;184;-19;-64;45;4;0;0;"URUGUAI";;;"2023";191;63;232;"38%-50%";
"74500000";"Alto Uruguai";2025-08-15 02:30:00;2025-08-15 01:30:00;2025-08-15 00:30:00;246;-51;;-24;14;0,2;0,4;"URUGUAI";;;"1965";223,5;10;1315;"50%-60%";
"74720000";"Porto Mauá";2025-08-15 02:30:00;2025-08-15 01:30:00;2025-08-15 00:30:00;332;-13;;-39;43;0;0;"URUGUAI";;;"2023";306;239;418;"75%-100%";
"74800000";"Porto Lucena";2025-08-15 02:30:00;2025-08-15 01:30:00;2025-08-15 00:30:00;174;-7;-62;-24;31;0;0,4;"URUGUAI";;;"2014";148;6;645;"60%-70%";
"75230000";"Santo Ângelo";2025-08-15 02:45:00;2025-08-15 01:45:00;2025-08-15 00:45:00;177;-6;-36;-32;0;0;0,2;"IJUÍ";;;"1992";144,5;55;398;"60%-70%";
"75550000";"Garruchos";2025-08-15 02:30:00;2025-08-15 01:30:00;2025-08-15 00:30:00;263;-31;-237;-97;86;0;0,4;"URUGUAI";;;"1983";178,5;-7;1075;"60%-70%";
